IUPAC names,SMILES,InChI,InChIKeys,Mr Molecular mass,Number of N,Solvent,DOI
"propane-1,3-diamine",C(CN)CN,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,XFNJVJPLKCPIBV-UHFFFAOYSA-N,74.08,2,"1,3-diaminopropane",
"butane-1,4-diamine",C(CCN)CN,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2,KIDHWZJUCRJVML-UHFFFAOYSA-N,88.1,2,"1,4-diaminobutane",
"pentane-1,5-diamine",C(CCN)CCN,InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,102.12,2,"1,5-diaminopentane",
"hexane-1,6-diamine",C(CCCN)CCN,InChI=1S/C6H16N2/c7-5-3-1-2-4-6-8/h1-8H2,NAQMVNRVTILPCV-UHFFFAOYSA-N,116.13,2,"1,6-diaminohexane",
1-aminopropan-2-ol,CC(CN)O,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",HXKKHQJGJAFBHI-UHFFFAOYSA-N,75.07,1,1-amino-2-propanol,
2-(2-aminoethoxy)ethanol,C(COCCO)N,"InChI=1S/C4H11NO2/c5-1-3-7-4-2-6/h6H,1-5H2",GIAFURWZWWWBQT-UHFFFAOYSA-N,105.08,1,2-(2-aminoethoxy)-ethanol,
"2,6-diamino-5-hydroxyhexanoic acid",C(CC(C(=O)O)N)C(CN)O,"InChI=1S/C6H14N2O3/c7-3-4(9)1-2-5(8)6(10)11/h4-5,9H,1-3,7-8H2,(H,10,11)",YSMODUONRAFBET-UHFFFAOYSA-N,162.1,2,"2,6-diamino-5-hydroxyhexanoic acid",
"2-amino-2-methylpropane-1,3-diol",CC(CO)(CO)N,"InChI=1S/C4H11NO2/c1-4(5,2-6)3-7/h6-7H,2-3,5H2,1H3",UXFQFBNBSPQBJW-UHFFFAOYSA-N,105.08,1,"2-amino-2-methyl-1,3-propanediol",
2-amino-2-methylpropan-1-ol,CC(C)(CO)N,"InChI=1S/C4H11NO/c1-4(2,5)3-6/h6H,3,5H2,1-2H3",CBTVGIZVANVGBH-UHFFFAOYSA-N,89.08,1,2-amino-2-methyl-1-propanol,
3-aminopropan-1-ol,C(CN)CO,"InChI=1S/C3H9NO/c4-2-1-3-5/h5H,1-4H2",WUGQZFFCHPXWKQ-UHFFFAOYSA-N,75.07,1,3-amino-1-propanol,
"3-aminopropane-1,2-diol",C(C(CO)O)N,"InChI=1S/C3H9NO2/c4-1-3(6)2-5/h3,5-6H,1-2,4H2",KQIGMPWTAHJUMN-UHFFFAOYSA-N,91.06,1,"3-aminopropan-1,2-diol",
4-(2-aminopropan-2-yl)-1-methylcyclohexan-1-amine,CC1(CCC(CC1)C(C)(C)N)N,"InChI=1S/C10H22N2/c1-9(2,11)8-4-6-10(3,12)7-5-8/h8H,4-7,11-12H2,1-3H3",KOGSPLLRMRSADR-UHFFFAOYSA-N,170.18,2,4-(2-aminopropan-2-yl)-1-methylcyclohexanamine,
2-aminoethanol,C(CO)N,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",HZAXFHJVJLSVMW-UHFFFAOYSA-N,61.05,1,ethanolamine (MEA),
"ethane-1,2-diamine",C(CN)N,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,PIICEJLVQHRZGT-UHFFFAOYSA-N,60.07,2,ethylenediamine,
2-aminoacetic acid,C(C(=O)O)N,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,75.03,1,glycine,
"2,3-diaminobutanedioic acid",C(C(C(=O)O)N)(C(=O)O)N,"InChI=1S/C4H8N2O4/c5-1(3(7)8)2(6)4(9)10/h1-2H,5-6H2,(H,7,8)(H,9,10)",PGNYNCTUBKSHHL-UHFFFAOYSA-N,148.05,2,"meso-2,3-diaminosuccinic acid",
pentan-1-amine,CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",DPBLXKKOBLCELK-UHFFFAOYSA-N,87.1,1,pentan-1-amine,
"2-aminopropane-1,3-diol",C(C(CO)N)O,"InChI=1S/C3H9NO2/c4-3(1-5)2-6/h3,5-6H,1-2,4H2",KJJPLEZQSCZCKE-UHFFFAOYSA-N,91.06,1,"serinol (2-aminopropane-1,3-diol)",
"cyclohexane-1,4-diamine",C1CC(CCC1N)N,"InChI=1S/C6H14N2/c7-5-1-2-6(8)4-3-5/h5-6H,1-4,7-8H2",VKIRRGRTJUUZHS-UHFFFAOYSA-N,114.12,2,"trans-1,4-diaminocyclohexane",
"2-amino-2-(hydroxymethyl)propane-1,3-diol",C(C(CO)(CO)N)O,"InChI=1S/C4H11NO3/c5-4(1-6,2-7)3-8/h6-8H,1-3,5H2",LENZDBCJOHFCAS-UHFFFAOYSA-N,121.07,1,tris(hydroxymethyl)aminomethane,
"1,4,7-triazonane",C1CNCCNCCN1,"InChI=1S/C6H15N3/c1-2-8-5-6-9-4-3-7-1/h7-9H,1-6H2",ITWBWJFEJCHKSN-UHFFFAOYSA-N,129.13,3,"1,4,7-triazacyclononane",
2-(ethylamino)ethanol,CCNCCO,"InChI=1S/C4H11NO/c1-2-5-3-4-6/h5-6H,2-4H2,1H3",MIJDSYMOBYNHOT-UHFFFAOYSA-N,89.08,1,2-(ethylamino)ethanol,
