Amino_Acid,SMILES
Alanine,CC(N)C(=O)O
Arginine,C(CC(C(=O)O)N)CN=C(N)N
Asparagine,C(C(C(=O)O)N)C(=O)N
Aspartic acid,C(C(C(=O)O)N)C(=O)O
Cysteine,C(C(C(=O)O)N)S
Glutamic acid,C(CC(=O)O)C(C(=O)O)N
Glutamine,C(CC(=O)N)C(C(=O)O)N
Glycine,C(C(=O)O)N
Histidine,C1=C(NC=N1)CC(C(=O)O)N
Isoleucine,CCC(C)C(C(=O)O)N
Leucine,CC(C)CC(C(=O)O)N
Lysine,C(CCN)CC(C(=O)O)N
Methionine,CSCCC(C(=O)O)N
Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N
Proline,C1CC(NC1)C(=O)O
Sarcosine,CNCC(=O)O
Serine,C(C(C(=O)O)N)O
Threonine,CC(C(C(=O)O)N)O
Tryptophan,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
Tyrosine,C1=CC(=CC=C1O)CC(C(=O)O)N
Valine,CC(C)C(C(=O)O)N
